"observedNfeeds" "observedhours" "relatedness2brood" "socialgroupID" "broodID" "massChange"
"169" 19 9.8 0 "ced_i_j_k" "cej0702" 0.06
"170" 19 9.8 0.5 "ced_i_j_k" "cej0702" 0.25
"171" 22 9.8 0 "ced_i_j_k" "cej0702" 0.22
"172" 0 10 0 "ced_i_j_k" "cej0702" 0.27
"173" 0 10 0.5 "ced_i_j_k" "cej0702" 0.22
"174" 1 5.4 0 "ced_i_j_k" "cej0702" 0.36
"175" 0 5.4 0.5 "ced_i_j_k" "cej0702" 0.3
"176" 18 4.1 0 "ced_i_j_k" "cej20801" 0.12
"177" 9 4.1 0.25 "ced_i_j_k" "cej20801" -0.1
"178" 24 8.9 0 "ced_i_j_k" "cej20801" -0.01
"179" 14 8.9 0.25 "ced_i_j_k" "cej20801" 0.19
"180" 54 11.7 0 "ced_i_j_k" "cej20801" 0.14
"181" 21 11.7 0.25 "ced_i_j_k" "cej20801" 0.07
"182" 46 11.3 0 "ced_i_j_k" "cej20801" 0.17
"183" 25 11.3 0.25 "ced_i_j_k" "cej20801" 0.21
"184" 17 5.2 0 "ced_i_j_k" "cej20801" 0.2
"185" 0 5.2 0.25 "ced_i_j_k" "cej20801" -0.01
"186" 63 10.9 0 "ced_i_j_k" "cej20801" 0
"187" 14 10.9 0.25 "ced_i_j_k" "cej20801" -0.03
"188" 11 10.1 0 "ced_i_j_k" "cej20801" -0.22
"189" 6 10.1 0.25 "ced_i_j_k" "cej20801" 0.07
"190" 28 11.2 0 "ced_i_j_k" "cej20801" 0.13
"191" 10 11.2 0.25 "ced_i_j_k" "cej20801" 0.27
"192" 28 12.1 0.5 "ced_i_j_k" "cek0702" 0.29
"193" 0 12.1 0.5 "ced_i_j_k" "cek0702" 0.07
"194" 32 12.1 0.5 "ced_i_j_k" "cek0702" -0.12
"195" 41 12.1 0.5 "ced_i_j_k" "cek0702" 0.25
"196" 34 12.2 0.5 "ced_i_j_k" "cek0702" 0.21
"197" 44 12.2 0.5 "ced_i_j_k" "cek0702" 0.4
"198" 24 11.8 0.5 "ced_i_j_k" "cek0702" 0.18
"199" 45 11.8 0.5 "ced_i_j_k" "cek0702" 0.12
"200" 20 12.7 0.5 "ced_i_j_k" "cek0702" 0.24
"201" 41 12.7 0.5 "ced_i_j_k" "cek0702" 0.34
"202" 27 12.7 0.5 "ced_i_j_k" "cek0702" 0.29
"203" 25 12.7 0.5 "ced_i_j_k" "cek0702" 0.24
"204" 28 12.1 0.5 "ced_i_j_k" "cek0702" 0.43
"205" 29 12.1 0.5 "ced_i_j_k" "cek0702" -0.02
"206" 23 11.9 0.5 "ced_i_j_k" "cek0702" -0.06
"207" 30 11.9 0.5 "ced_i_j_k" "cek0702" 0.26
"208" 8 11.1 0.5 "ced_i_j_k" "cek0702" 0.06
"209" 9 11.1 0.5 "ced_i_j_k" "cek0702" 0.36
"210" 11 5.2 0.5 "ced_i_j_k" "cek0702" 0.31
"211" 4 5.2 0.5 "ced_i_j_k" "cek0702" 0.1
"212" 13 13.4 0.5 "ced_i_j_k" "cek0702" -0.03
"213" 2 13.4 0.5 "ced_i_j_k" "cek0702" 0.09
"214" 32 5.6 0.25 "ced_i_j_k" "cek20801" -0.02
"215" 32 5.6 0 "ced_i_j_k" "cek20801" -0.02
"216" 21 5.6 0.25 "ced_i_j_k" "cek20801" 0.26
"217" 0 5.6 0 "ced_i_j_k" "cek20801" 0.19
"218" 30 10.4 0.25 "ced_i_j_k" "cek20801" 0.17
"219" 21 10.4 0 "ced_i_j_k" "cek20801" 0.15
"220" 3 10.4 0.25 "ced_i_j_k" "cek20801" 0.1
"221" 0 10.4 0 "ced_i_j_k" "cek20801" -0.07
"222" 37 10.9 0.25 "ced_i_j_k" "cek20801" 0.31
"223" 32 10.9 0 "ced_i_j_k" "cek20801" 0.16
"224" 13 10.9 0.25 "ced_i_j_k" "cek20801" 0.15
"225" 0 10.9 0 "ced_i_j_k" "cek20801" 0.04
"226" 33 10.9 0.25 "ced_i_j_k" "cek20801" 0.22
"227" 27 10.9 0 "ced_i_j_k" "cek20801" 0.02
"228" 14 10.9 0.25 "ced_i_j_k" "cek20801" 0.06
"229" 2 10.9 0 "ced_i_j_k" "cek20801" 0.03
"230" 40 11.4 0.25 "ced_i_j_k" "cek20801" 0.16
"231" 50 11.4 0 "ced_i_j_k" "cek20801" 0.11
"232" 24 11.4 0.25 "ced_i_j_k" "cek20801" 0.27
"233" 0 11.4 0 "ced_i_j_k" "cek20801" 0.22
"234" 44 11.5 0.25 "ced_i_j_k" "cek20801" 0.23
"235" 52 11.5 0 "ced_i_j_k" "cek20801" 0.43
"236" 33 11.5 0.25 "ced_i_j_k" "cek20801" 0.22
"237" 0 11.5 0 "ced_i_j_k" "cek20801" 0.04
"238" 33 6.7 0.25 "ced_i_j_k" "cek20801" 0.3
"239" 31 6.7 0 "ced_i_j_k" "cek20801" 0.18
"240" 22 6.7 0.25 "ced_i_j_k" "cek20801" 0.3
"241" 2 6.7 0 "ced_i_j_k" "cek20801" 0.21
"242" 44 11.2 0.25 "ced_i_j_k" "cek20801" 0.17
"243" 56 11.2 0 "ced_i_j_k" "cek20801" 0.19
"244" 36 11.2 0.25 "ced_i_j_k" "cek20801" 0.18
"245" 0 11.2 0 "ced_i_j_k" "cek20801" 0.15
"246" 16 4.4 0 "cel_z" "cel30702" 0.27
"247" 33 13.2 0 "cel_z" "cel30702" 0.38
"248" 36 13.4 0 "cel_z" "cel30702" 0.59
"249" 0 13.2 0 "cel_z" "cel30702" 0.21
"250" 1 12.9 0 "cel_z" "cel30702" 0.14
"251" 0 12.1 0 "cel_z" "cel30702" 0.33
"252" 4 12.6 0 "cel_z" "cel30702" -0.11
"253" 0 13.2 0 "cel_z" "cel30702" 0.37
"254" 82 11.3 0.25 "ceo" "ceo0801" 0.25
"255" 27 11.3 0.5 "ceo" "ceo0801" 0.07
"256" 0 11.3 0.25 "ceo" "ceo0801" 0.41
"257" 41 6.8 0.25 "ceo" "ceo0801" 0.01
"258" 23 6.8 0.5 "ceo" "ceo0801" 0.22
"259" 0 6.8 0.25 "ceo" "ceo0801" 0.21
"260" 65 11.4 0.25 "ceo" "ceo0801" 0.25
"261" 46 11.4 0.5 "ceo" "ceo0801" 0.47
"262" 0 11.4 0.25 "ceo" "ceo0801" 0.31
"263" 54 12.8 0.25 "ceo" "ceo0802" 0.13
"264" 27 12.8 0.25 "ceo" "ceo0802" 0.28
"265" 33 12.8 0.25 "ceo" "ceo0802" 0.18
"266" 47 12.9 0.25 "ceo" "ceo0802" 0.25
"267" 27 12.9 0.25 "ceo" "ceo0802" 0.09
"268" 34 12.9 0.25 "ceo" "ceo0802" 0.26
"269" 46 13.7 0.25 "ceo" "ceo0802" 0.28
"270" 24 13.7 0.25 "ceo" "ceo0802" 0.16
"271" 36 13.7 0.25 "ceo" "ceo0802" 0.17
"272" 44 13.6 0.25 "ceo" "ceo0802" 0.49
"273" 35 13.6 0.25 "ceo" "ceo0802" 0.14
"274" 41 13.6 0.25 "ceo" "ceo0802" 0.51
"275" 50 13.6 0.25 "ceo" "ceo0802" 0.21
"276" 36 13.6 0.25 "ceo" "ceo0802" 0.48
"277" 34 13.6 0.25 "ceo" "ceo0802" 0.09
"278" 37 13.5 0.25 "ceo" "ceo0802" 0.3
"279" 18 13.5 0.25 "ceo" "ceo0802" 0.18
"280" 24 13.5 0.25 "ceo" "ceo0802" 0.42
"281" 4 12.1 0.25 "ceo" "ceo0802" 0.15
"282" 0 12.1 0.25 "ceo" "ceo0802" 0.11
"283" 0 12.1 0.25 "ceo" "ceo0802" 0.37
"284" 31 12.7 0.25 "ceo" "ceo0802" 0.04
"285" 0 12.7 0.25 "ceo" "ceo0802" 0.15
"286" 0 12.7 0.25 "ceo" "ceo0802" 0.25
"287" 53 12.8 0.25 "ceo" "ceo0802" 0.28
"288" 0 12.8 0.25 "ceo" "ceo0802" -0.02
"289" 0 12.8 0.25 "ceo" "ceo0802" 0.44
"290" 70 13 0.25 "ceo" "ceo0802" 0.22
"291" 17 13 0.25 "ceo" "ceo0802" 0.19
"292" 15 13 0.25 "ceo" "ceo0802" 0.38
"293" 44 13 0.25 "ceo" "ceo0802" 0.38
"294" 5 13 0.25 "ceo" "ceo0802" 0.27
"295" 10 13 0.25 "ceo" "ceo0802" 0.19
"296" 41 9.9 0.25 "ceo" "ceo0802" -0.09
"297" 18 9.9 0.25 "ceo" "ceo0802" 0.4
"298" 22 9.9 0.25 "ceo" "ceo0802" 0.24
"299" 54 13.1 0.25 "ceo" "ceo0802" 0.4
"300" 14 13.1 0.25 "ceo" "ceo0802" -0.02
"301" 17 13.1 0.25 "ceo" "ceo0802" 0.39
"302" 52 12.9 0.25 "ceo" "ceo0802" 0
"303" 9 12.9 0.25 "ceo" "ceo0802" 0.4
"304" 37 12.9 0.25 "ceo" "ceo0802" 0.35
"305" 68 13.2 0.25 "ceo" "ceo0802" 0.33
"306" 13 13.2 0.25 "ceo" "ceo0802" 0.16
"307" 43 13.2 0.25 "ceo" "ceo0802" 0.21
"308" 59 13.3 0.25 "ceo" "ceo0802" 0.11
"309" 12 13.3 0.25 "ceo" "ceo0802" -0.03
"310" 36 13.3 0.25 "ceo" "ceo0802" 0.46
"311" 35 13.1 0.25 "ceo" "ceo0802" 0.34
"312" 13 13.1 0.25 "ceo" "ceo0802" 0.29
"313" 22 13.1 0.25 "ceo" "ceo0802" -0.08
"314" 49 11.7 0.25 "ceo" "ceo0802" 0.16
"315" 25 11.7 0.25 "ceo" "ceo0802" 0.48
"316" 29 11.7 0.25 "ceo" "ceo0802" 0.25
"317" 3 11.1 0 "cep_q" "cep0701" -0.19
"318" 7 11.5 0 "cep_q" "cep0701" -0.18
"319" 1 8.1 0.5 "cep_q" "ceq20702" 0.11
"320" 1 11.5 0.5 "cep_q" "ceq20702" 0.21
"321" 0 11.5 0.5 "cep_q" "ceq20702" 0.37
"322" 2 11.5 0.5 "cep_q" "ceq20702" 0.18
"323" 24 7.7 0.5 "cep_q" "ceq20702" 0.21
"324" 23 7.8 0.5 "cep_q" "ceq20702" 0.13
"325" 13 5.3 0.5 "ceq_p" "ceq20802" 0.22
"326" 26 9.9 0.5 "ceq_p" "ceq20802" 0.26
"327" 36 12 0.5 "ceq_p" "ceq20802" -0.02
"328" 29 12 0.5 "ceq_p" "ceq20802" 0.12
"329" 31 12 0.5 "ceq_p" "ceq20802" -0.04
"330" 26 12.4 0.5 "ceq_p" "ceq20802" -0.02
"331" 22 10.6 0.5 "ceq_p" "ceq20802" 0.54
"332" 33 11.9 0.5 "ceq_p" "ceq20802" 0.35
"333" 38 9.9 0.5 "cet_u" "cet0702" 0.16
"334" 45 10.6 0.5 "cet_u" "cet0702" 0.22
"335" 44 10.8 0.5 "cet_u" "cet0702" 0.06
"336" 18 4.2 0.5 "cet_u" "cet0702" 0.15
"337" 0 6.6 0.5 "cet_u" "cet0702" 0.18
"338" 10 6.6 0.25 "cet_u" "cet0702" 0.33
"339" 17 6.6 0.5 "cet_u" "cet0702" 0.5
"340" 6 6.2 0.5 "cet_u" "cet0702" 0.16
"341" 19 6.2 0.25 "cet_u" "cet0702" 0.34
"342" 19 6.2 0.5 "cet_u" "cet0702" 0.33
"343" 9 4.1 0.5 "cet_u" "cet0702" 0
"344" 19 4.1 0.25 "cet_u" "cet0702" 0.11
"345" 11 4.1 0.5 "cet_u" "cet0702" 0.1
"346" 25 11.9 0.5 "cet_u" "cet0702" 0.16
"347" 50 11.9 0.25 "cet_u" "cet0702" 0.05
"348" 39 11.9 0.5 "cet_u" "cet0702" 0.28
"349" 18 8.4 0.5 "cet_u" "cet0702" -0.07
"350" 37 8.4 0.25 "cet_u" "cet0702" 0.19
"351" 37 8.4 0.5 "cet_u" "cet0702" 0.01
"352" 23 6.9 0.5 "cet_u" "cet0702" -0.15
"353" 25 6.9 0.25 "cet_u" "cet0702" 0.17
"354" 24 6.9 0.5 "cet_u" "cet0702" 0.12
"355" 19 8.1 0.5 "cet_u" "cet0801" 0.04
"356" 35 11.4 0.5 "cet_u" "cet0801" 0
"357" 34 11.1 0.5 "cet_u" "cet0801" 0.16
"358" 1 10.4 0.5 "cet_u" "cet0801" 0.08
"359" 16 10.2 0.5 "cet_u" "cet0801" 0.24
"360" 0 12.1 0 "cet_u" "ceu0702" 0.49
"361" 0 12.1 0 "cet_u" "ceu0702" 0.23
"362" 0 6.7 0 "cet_u" "ceu0702" 0.37
"363" 0 6.7 0 "cet_u" "ceu0702" 0.29
"364" 32 12.8 0 "cet_u" "ceu0702" 0.03
"365" 0 12.8 0 "cet_u" "ceu0702" 0.27
"366" 57 12.7 0 "cet_u" "ceu0702" -0.16
"367" 0 12.7 0 "cet_u" "ceu0702" 0.46
"368" 26 7.9 0 "cet_u" "ceu0702" 0.29
"369" 0 7.9 0 "cet_u" "ceu0702" -0.01
"370" 33 9 0 "cet_u" "ceu0702" 0.36
"371" 0 9 0 "cet_u" "ceu0702" 0.08
"372" 42 12.5 0 "cet_u" "ceu0702" 0.09
"373" 0 12.5 0 "cet_u" "ceu0702" 0.16
"374" 37 12.3 0 "cet_u" "ceu0702" 0.08
"375" 0 12.3 0 "cet_u" "ceu0702" 0.45
"376" 41 12.7 0 "cet_u" "ceu0702" 0.01
"377" 0 12.7 0 "cet_u" "ceu0702" 0.42
"378" 49 12.7 0 "cet_u" "ceu0702" 0.17
"379" 0 12.7 0 "cet_u" "ceu0702" 0.29
"380" 47 12.9 0 "cet_u" "ceu0702" 0.07
"381" 0 12.9 0 "cet_u" "ceu0702" 0.27
"382" 42 13.1 0 "cet_u" "ceu0702" 0.4
"383" 0 13.1 0 "cet_u" "ceu0702" 0.09
"384" 4 4.1 0 "cet_u" "ceu0702" 0.17
"385" 2 4.1 0 "cet_u" "ceu0702" 0.34
"386" 0 11.4 0 "cet_u" "ceu0702" 0.32
"387" 0 11.4 0 "cet_u" "ceu0702" 0.06
"388" 0 12.4 0 "cet_u" "ceu0702" 0.25
"389" 0 12.4 0 "cet_u" "ceu0702" 0.12
"390" 0 4.5 0 "cet_u" "ceu0702" 0.2
"391" 0 4.5 0 "cet_u" "ceu0702" 0.13
"392" 0 12.2 0 "cet_u" "ceu0702" 0.35
"393" 0 12.2 0 "cet_u" "ceu0702" 0.32
"394" 29 4.3 0 "cel_z" "cez40701" -0.01
"395" 31 4.3 0 "cel_z" "cez40701" 0.3
"396" 66 12.6 0 "cel_z" "cez40701" 0.22
"397" 62 12.6 0 "cel_z" "cez40701" -0.02
"398" 67 12.4 0 "cel_z" "cez40701" 0.21
"399" 62 12.4 0 "cel_z" "cez40701" 0.19
"400" 76 12.5 0 "cel_z" "cez40701" 0.37
"401" 60 12.5 0 "cel_z" "cez40701" 0.27
"402" 78 12.4 0 "cel_z" "cez40701" 0.41
"403" 79 12.4 0 "cel_z" "cez40701" 0.52
"404" 50 12.3 0 "cel_z" "cez40701" 0.26
"405" 46 12.3 0 "cel_z" "cez40701" 0.26
"406" 38 8.2 0 "cel_z" "cez40701" 0.01
"407" 29 8.2 0 "cel_z" "cez40701" 0.49
"408" 72 12.4 0 "cel_z" "cez40701" 0.16
"409" 71 12.4 0 "cel_z" "cez40701" 0.22
"410" 27 7.7 0 "cel_z" "cez40701" 0.22
"411" 44 7.7 0 "cel_z" "cez40701" 0.42
"412" 19 4.9 0 "cel_z" "cez40701" 0.39
"413" 15 4.9 0 "cel_z" "cez40701" 0.22
"414" 31 11.6 0 "cel_z" "cez40701" 0.12
"415" 35 11.6 0 "cel_z" "cez40701" 0.25
"416" 62 12 0 "cel_z" "cez40701" 0.21
"417" 66 12 0 "cel_z" "cez40701" 0.45
"418" 61 12.1 0 "cel_z" "cez40701" 0.32
"419" 61 12.1 0 "cel_z" "cez40701" 0.37
"420" 38 9.6 0 "cel_z" "cez40701" 0.17
"421" 36 9.6 0 "cel_z" "cez40701" 0.13
"422" 54 12.4 0.5 "cel_z" "cez40801" 0.4
"423" 94 12.4 0 "cel_z" "cez40801" 0.29
"424" 40 10.7 0.5 "cel_z" "cez40801" 0.44
"425" 45 10.7 0 "cel_z" "cez40801" 0.13
"426" 46 8.4 0.5 "cel_z" "cez40801" 0.37
"427" 60 8.4 0 "cel_z" "cez40801" 0.49
"428" 21 5.5 0.5 "cel_z" "cez40801" 0.19
"429" 39 5.5 0 "cel_z" "cez40801" 0.11
"430" 38 5.4 0.5 "cel_z" "cez40801" 0.32
"431" 42 5.4 0 "cel_z" "cez40801" 0.13
"432" 2 12 0 "efc_m" "efc0702" 0.08
"433" 11 12 0.5 "efc_m" "efc0702" 0.41
"434" 0 12 0.5 "efc_m" "efc0702" -0.17
"435" 0 12 0 "efc_m" "efc0702" 0.65
"436" 3 11.6 0 "efc_m" "efc0702" 0.31
"437" 9 11.6 0.5 "efc_m" "efc0702" 0.07
"438" 0 11.6 0.5 "efc_m" "efc0702" -0.08
"439" 0 11.6 0 "efc_m" "efc0702" 0.37
"440" 1 11.9 0 "efc_m" "efc0702" 0.19
"441" 9 11.9 0.5 "efc_m" "efc0702" 0.16
"442" 0 11.9 0.5 "efc_m" "efc0702" 0.11
"443" 0 11.9 0 "efc_m" "efc0702" 0.29
"444" 6 11.7 0 "efc_m" "efc0702" 0.26
